"H","22","branche","GSM04","0","-1","2","-1","-5","5","-1","-1","-1","0","25",,"19:00:00","22:00:00","20","Non","Lundi, Mardi, Jeudi, Vendredi","4","6"
"F","22","branche","GSU05","2","-1","2","5","-5","5","2","2","2","2","45",,"19:30:00","21:30:00","6","Oui","Mardi, Jeudi, Vendredi","2","6"
"F","25","branche","GI04","0","5","-5","2","-5","2","5","2","5","0","30",,"10:00:00","22:00:00","30","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","4"
"F","19","tronc commun","TC04","5","0","0","0","0","0","5","0","2","0","15",,"19:30:00","22:00:00","10","Non","Vendredi","2","5"
"F","21","branche","GM02","5","0","0","0","-1","0","5","0","0","-5","30",,"20:00:00","22:30:00","4","Oui","Jeudi, Vendredi","2","3"
"F","22","branche","GB04","5","0","0","0","0","0","0","0","0","0","30",,"19:30:00","22:00:00","4","Oui","Vendredi","4","6"
"F","19","tronc commun","TC02","0","-1","-5","5","2","0","-1","-1","5","-5","30",,"20:00:00","23:00:00","10","Oui","Jeudi, Vendredi","3","6"
"H","21","branche","GSM04","5","-1","-1","2","2","2","5","-1","5","5","3",,"20:00:00","22:00:00","5","Non","Mercredi, Jeudi, Vendredi","2","6"
"H","19","tronc commun","TC02","5","-5","-1","-1","-1","-1","2","5","5","2","20",,"19:30:00","22:00:00","10","Oui","Vendredi","4","6"
"H","21","branche","GSM02","2","2","5","5","2","0","5","0","5","5","20",,"20:00:00","22:00:00","5","Oui","Mercredi, Jeudi","2","3"
"H","23","branche","GSM05","0","5","2","2","-1","-1","2","-1","2","5","30",,"19:00:00","21:00:00","10","Non","Lundi, Jeudi, Vendredi","4","4"
"F","20","branche","GP02","0","0","2","2","5","2","0","0","-1","5","30",,"20:00:00","22:30:00","7","Non","Vendredi","4","2"
"F","20","branche","GP04","0","5","-1","2","-5","-1","5","5","5","5","25",,"20:00:00","00:00:00","15","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","4","6"
"H","21","branche","GP04","0","-1","2","0","-1","2","5","2","5","5","30",,"19:00:00","21:00:00","9","Non","Mercredi, Jeudi","4","5"
"H","19","tronc commun","TC04","0","5","2","2","-5","2","2","2","5","5","25",,"19:30:00","22:15:00","10","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","4","6"
"H","19","tronc commun","TC04","0","5","2","0","2","0","5","0","5","2","15",,"20:00:00","22:00:00","8","Non","","4","4"
"H","19","tronc commun","TC02","0","0","0","-1","5","-1","5","5","0","-1","10",,"20:00:00","22:00:00","10","Oui","Lundi, Mardi, Mercredi, Jeudi, Vendredi","4","7"
"F","19","tronc commun","TC02","0","0","0","0","5","0","2","0","2","2","15",,"20:00:00","22:00:00","8","Oui","Mercredi","3","4"
"H","19","tronc commun","TC02","2","5","2","5","2","-1","-1","2","0","5","15",,"20:00:00","22:00:00","10","Oui","Vendredi","4","7"
"H","19","tronc commun","TC02","0","0","5","2","-1","-1","2","2","5","5","30",,"20:00:00","22:00:00","10","Non","Lundi, Jeudi, Vendredi","2","5"
"H","20","branche","GI04","0","2","2","0","2","5","2","5","2","2","20",,"20:30:00","22:00:00","6","Oui","Mercredi, Jeudi, Vendredi","3","4"
"H","21","branche","GM02","0","-1","2","2","-1","2","5","2","-1","2","20",,"18:30:00","22:00:00","20","Non","Mardi, Mercredi, Jeudi, Vendredi","5","10"
"H","19","tronc commun","TC02","0","5","2","5","2","5","-5","5","0","5","10",,"20:00:00","22:00:00","10","Oui","Mercredi, Jeudi, Vendredi","5","12"
"H","20","tronc commun","TC06","-1","5","5","5","-5","5","2","2","5","2","25",,"20:15:00","22:00:00","10","Oui","Lundi, Mercredi, Jeudi, Vendredi","3","15"
"H","22","branche","GI06","2","-1","-5","5","-1","-1","-1","5","-1","-1","30",,"18:30:00","21:00:00","8","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","4","5"
"F","21","branche","GP04","5","2","2","5","-1","2","5","5","2","2","20",,"19:30:00","22:30:00","12","Oui","Mercredi, Jeudi","4","6"
"H","20","branche","GI02","-1","-1","-1","5","-5","-1","-1","5","-1","5","25",,"20:30:00","22:00:00","15","Non","Mercredi, Jeudi, Vendredi","3","6"
"H","24","branche","GM06","0","-5","-5","5","-5","2","2","0","5","5","40",,"20:00:00","22:00:00","10","Oui","Mardi, Mercredi, Jeudi, Vendredi","3","4"
"F","20","branche","GSM02","2","0","-1","5","-5","-1","5","-1","2","5","30",,"19:30:00","22:30:00","10","Non","Mardi, Jeudi, Vendredi","3","20"
"H","22","branche","GSM04","0","0","2","-1","-1","0","5","0","5","5","25",,"19:30:00","22:00:00","25","Non","Lundi, Mercredi, Jeudi, Vendredi","4","5"
